region,n_vars,n_chains,q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,asymp_red,latent_period,symptomat recovery_rate,asymptomatic_recovery_rate,hosp_subcrit_length,hosp_crit_length,full_chain,
nyc,5,10,1.0098,1.0025,1.0075,1.0138,1.0056,1.0167,0,0,0,0,0,0,0,
sflor,5,10,1.0144,1.0238,1.0123,1.0179,1.0609,1.0665,0,0,0,0,0,0,0,
wash,5,10,1.0044,1.0026,1.0047,1.0087,1.0056,1.01,0,0,0,0,0,0,0,
nyc,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
sflor,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
wash,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
nyc,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
sflor,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
wash,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
nyc,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
sflor,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
wash,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
nyc,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
sflor,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
wash,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
